;i=1;i=1;i=1;;i=2;i=2;i=2;;i=3;i=3;i=3;;i=4;i=4;i=4;;i=5;i=5;i=5;;i=6;i=6;i=6;;i=7;i=7;i=7
21;  297.8966;  624.2101;  906.7287;;  289.5548;  584.7313;  912.7603;;  310.6110;  583.2105;  926.0996;;  307.3218;  610.4948;  930.6227;;  295.1792;  610.4948;  868.7364;;  312.5396;  579.9801;  884.2870;;  296.1474;  614.3595;  930.7801
22;  285.7526;  614.0432;  898.3271;;  297.8381;  604.5424;  906.4612;;  307.0821;  613.5266;  909.7300;;  295.4056;  606.1525;  931.4019;;  309.1751;  606.1525;  889.1112;;  304.8311;  569.6847;  836.4910;;  302.0470;  597.5742;  824.1409
23;  314.3210;  579.6686;  927.8253;;  326.3151;  625.6682;  865.6229;;  287.9180;  609.1012;  850.7152;;  291.3133;  585.0512;  876.9099;;  292.3837;  585.0512;  886.3119;;  301.9786;  561.0610;  870.5838;;  287.8984;  611.7807;  790.0412
24;  287.1560;  593.1632;  907.9201;;  278.8978;  586.9148;  900.1876;;  310.9923;  574.0887;  982.9368;;  305.3457;  589.6227;  956.3963;;  297.8656;  589.6227;  899.9428;;  299.8162;  624.5394;  927.1044;;  321.2287;  623.3958;  940.3310
25;  294.4773;  556.1638;  922.7375;;  291.9281;  632.1738;  867.2711;;  293.9950;  580.0381;  946.4636;;  315.5026;  580.1837;  917.0544;;  282.1292;  580.1837;  886.5624;;  314.0769;  580.8342;  911.0061;;  291.3252;  590.6374;  884.8593
26;  319.7016;  622.5201;  895.3495;;  275.5540;  641.4514;  914.6567;;  300.3431;  606.1171;  910.4520;;  292.9036;  623.0090;  899.3188;;  303.3733;  623.0090;  888.8702;;  304.5163;  616.1946;  938.8956;;  282.5155;  620.1711;  904.4677
27;  293.5683;  589.7884;  925.0023;;  297.1871;  534.5797;  928.2962;;  294.0037;  621.0996;  959.7530;;  282.2374;  632.4660;  895.2258;;  292.6350;  632.4660;  913.1077;;  300.9504;  630.8647;  865.2320;;  302.2206;  597.2805;  932.3138
28;  302.6902;  576.8060;  891.6267;;  308.2291;  588.7736;  964.7273;;  288.1887;  575.0451;  867.3683;;  302.5164;  616.1811;  870.6585;;  301.3138;  616.1811;  920.2282;;  299.6743;  567.2046;  886.1178;;  315.9004;  638.8267;  914.1804
29;  303.4119;  593.4082;  890.8820;;  293.0485;  603.6803;  867.8403;;  296.0848;  579.7680;  946.2369;;  305.1597;  585.6128;  923.7684;;  288.2589;  585.6128;  891.8547;;  291.4234;  638.6063;  922.5004;;  318.3579;  580.8234;  830.6644
30;  317.1885;  552.5263;  901.0350;;  311.2173;  605.1068;  832.0145;;  296.2393;  583.3214;  916.0412;;  303.1946;  598.6716;  916.7707;;  311.4234;  598.6716;  861.0855;;  305.7612;  589.9552;  920.9007;;  311.0184;  592.3691;  890.2144
31;  300.6369;  592.3739;  885.6423;;  299.5945;  625.4604;  935.4362;;  307.8304;  576.3313;  876.8053;;  296.4885;  589.6453;  896.4462;;  299.3541;  589.6453;  886.4417;;  294.0665;  564.5689;  894.7947;;  312.3951;  591.2241;  870.9616
32;  302.5237;  587.2569;  984.2461;;  289.1335;  604.9185;  913.3163;;  281.1625;  601.6915;  933.2982;;  300.4597;  590.1659;  924.7181;;  278.9346;  590.1659;  900.5087;;  297.7042;  578.6323;  893.2883;;  292.2918;  617.0714;  899.0349
33;  300.2632;  587.2319;  918.7986;;  285.0921;  598.2340;  905.8678;;  313.8980;  579.8856;  905.3107;;  316.9430;  608.4171;  855.6411;;  303.1706;  608.4171;  883.0100;;  307.4452;  588.6019;  977.1076;;  314.1312;  589.6933;  879.7740
34;  301.0059;  623.9149;  868.9658;;  293.0034;  595.8891;  918.4903;;  306.5275;  562.3190;  954.6714;;  290.7433;  574.2071;  867.4724;;  282.6467;  574.2071;  873.8994;;  306.2319;  581.6455;  892.7547;;  288.0239;  601.6032;  927.6592
35;  290.9602;  609.2725;  872.4200;;  321.2056;  603.0065;  888.0052;;  290.9108;  649.5302;  878.8541;;  302.0689;  604.5111;  938.4277;;  304.1409;  604.5111;  902.1267;;  292.4757;  592.7374;  875.3689;;  265.7480;  609.5363;  918.8927
36;  296.5103;  589.4126;  972.6517;;  310.8075;  585.1563;  851.6384;;  308.1034;  629.2182;  917.9120;;  292.1477;  602.0427;  899.9193;;  313.2285;  602.0427;  902.8857;;  293.4361;  580.2524;  842.9564;;  295.0713;  583.1445;  906.7459
37;  285.7909;  670.6274;  937.2769;;  322.7284;  601.9278;  884.4474;;  329.0639;  585.2764;  918.5220;;  279.5066;  611.1759;  935.2368;;  298.4938;  611.1759;  908.4506;;  299.6190;  600.7107;  885.2483;;  298.4109;  572.8319;  862.6020
38;  280.1598;  586.7038;  914.1836;;  287.8203;  564.8717;  885.1206;;  285.4682;  660.1558;  892.3332;;  304.5480;  602.7092;  946.1768;;  288.7050;  602.7092;  865.3340;;  304.0917;  603.5315;  908.7263;;  305.7848;  604.6423;  933.1595
39;  288.3194;  634.6371;  870.1761;;  276.4068;  637.6650;  912.9112;;  292.0174;  637.0598;1007.9696;;  307.6781;  631.2886;  902.7342;;  291.5970;  631.2886;  916.1720;;  298.4968;  605.8556;  931.8685;;  308.0920;  605.2792;  868.0739
40;  293.0646;  564.3701;  942.4215;;  322.6772;  609.4804;  921.1470;;  299.7623;  596.2233;931.0081;;  309.8882;  603.2352;  879.4546;;  299.0453;  603.2352;  884.0039;;  306.2205;  570.8803;  850.7559;;  293.9406;  605.4691;  831.5326
41;  280.8088;  646.0852;  922.0056;;  308.4463;  601.7445;  919.3122;;  293.6588;  594.5401;  876.0520;;  323.9672;  581.3843;  919.7722;;  296.9382;  581.3843;  915.9209;;  301.0666;  605.2522;  970.5052;;  303.2900;  622.9054;  962.5784
42;  304.2201;  601.6149;  915.2875;;  306.4207;  545.6997;  924.9193;;  302.4913;  613.7352;  929.9236;;  289.4106;  595.2210;  926.7245;;  299.4795;  595.2210;  923.2674;;  298.2688;  587.8819;  916.9268;;  295.8228;  593.8807;  905.5318
43;  288.3970;  560.6670;  844.0047;;  306.7688;  608.6981;  956.9458;;  306.3010;  585.4196;  940.1584;;  302.0938;  626.6224;  964.7895;;  319.6394;  626.6224;  918.2459;;  289.1507;  596.0218;  900.5851;;  298.7988;  619.3693;  828.8660
44;  298.2447;  602.8255;  886.7415;;  313.4948;  567.7507;  928.5813;;  292.5877;  592.0694;  905.8950;;  301.1914;  578.5747;  898.6451;;  300.2274;  578.5747;  890.6001;;  289.6825;  586.4555;  916.8253;;  309.0175;  561.2974;  915.5633
45;  293.9940;  580.6026;  877.3259;;  287.1718;  592.9278;  898.6121;;  310.1838;  613.7406;  916.0772;;  307.0427;  607.4964;  909.8360;;  303.8713;  607.4964;  875.0464;;  317.2581;  603.7813;  899.9576;;  310.1084;  612.8451;  931.3532
46;  306.3923;  599.3235;  926.8023;;  291.7710;  600.9136;  902.4013;;  297.2852;  571.0907;  893.6683;;  294.6795;  621.7082;  912.1929;;  301.5762;  621.7082;  902.7709;;  302.4165;  563.7169;  885.4644;;  321.6405;  581.8968;  881.6513
47;  311.4911;  552.1767;  899.3812;;  276.9869;  570.0957;  853.6115;;  303.3173;  648.4416;  948.5327;;  305.7675;  603.8667;  901.6449;;  297.9940;  603.8667;  856.9360;;  297.7150;  586.8633;  856.1575;;  293.8001;  611.8676;  880.9351
48;  272.9756;  641.8396;  901.5084;;  317.4300;  602.5852;  897.2600;;  313.2178;  627.8623;  957.6788;;  303.3902;  608.4563;  852.9390;;  309.1675;  608.4563;  904.8072;;  302.6016;  578.6432;  886.9457;;  316.0947;  617.6800;  936.0551
49;  294.6051;  577.8606;  939.4991;;  293.2227;  606.1739;  899.7407;;  299.6248;  602.6244;  921.5129;;  309.0322;  602.6436;  863.3348;;  284.1652;  602.6436;  885.6014;;  302.1287;  564.4692;  908.2196;;  281.2276;  597.4512;  891.7610
50;  281.2101;  644.3886;  892.0845;;  297.3508;  572.8116;  932.7958;;  310.5875;  639.5320;  876.7032;;  296.4030;  617.4126;  918.1716;;  300.4287;  617.4126;  900.3938;;  293.5893;  595.5855;  885.0622;;  284.9027;  562.5962;  955.6921
51;  305.0185;  586.4126;  797.4814;;  294.8165;  638.8807;  947.1125;;  292.3396;  560.1168;  904.3017;;  298.7221;  621.0242;  917.1205;;  299.4165;  621.0242;  855.2557;;  318.2453;  590.8643;  930.6398;;  306.9314;  605.8843;  861.9425
52;  305.8756;  646.8865;  904.4207;;  305.2771;  591.2651;  918.6971;;  282.7719;  636.8412;  915.6871;;  303.1227;  569.3439;  894.3989;;  312.9800;  569.3439;  900.2213;;  307.8287;  577.7632;  862.6988;;  312.6173;  603.6953;  850.6274
53;  284.9271;  579.4142;  878.2508;;  289.8653;  606.2966;  876.7014;;  301.3300;  616.7832;  954.0167;;  287.7224;  587.5386;  923.1224;;  287.6842;  587.5386;  887.5736;;  295.4643;  626.9432;  909.9263;;  320.0573;  616.7865;  865.6401
54;  304.7674;  530.1600;  865.2564;;  300.0789;  590.4525;  943.4855;;  300.6084;  631.3906;  903.7306;;  294.0583;  606.9921;  899.5104;;  286.1373;  606.9921;  947.6665;;  286.6244;  614.5688;  907.3931;;  294.9404;  583.5814;  915.4087
55;  304.5321;  605.9351;  875.0433;;  319.7923;  587.0105;  962.9689;;  313.7891;  588.4677;  878.9373;;  307.2073;  615.6630;  903.9328;;  291.2793;  615.6630;  855.4826;;  312.5039;  625.4351;  954.5413;;  276.2219;  614.5362;  925.6311
56;  296.4373;  588.3394;  851.7055;;  294.4797;  594.8750;  885.5996;;  304.0113;  596.8632;  878.3193;;  302.2521;  625.1753;  904.5946;;  295.8149;  625.1753;  911.7954;;  299.9590;  573.2327;  883.5319;;  299.9372;  599.1164;  894.2353
57;  306.5290;  571.7475;  851.8169;;  300.9343;  574.0961;  919.3258;;  312.3148;  616.7559;  918.6116;;  298.6984;  583.5637;  867.1806;;  302.3304;  583.5637;  952.1173;;  295.6071;  604.0414;  944.2419;;  273.3666;  590.9291;  897.1543
58;  329.4510;  605.3296;  884.0841;;  287.2873;  572.7584;  882.9603;;  287.3098;  571.6567;  847.6216;;  307.1406;  608.8243;  939.6426;;  305.3876;  608.8243;  976.8538;;  305.9414;  613.6109;  934.6293;;  296.7072;  604.7791;  888.9110
59;  299.6816;  572.4917;  854.4699;;  285.3904;  625.5583;  944.3062;;  292.4244;  577.7365;  843.7862;;  298.9043;  616.8102;  907.6815;;  318.1704;  616.8102;  893.6418;;  282.5698;  602.8146;  908.5164;;  311.7661;  622.2706;  869.5000
60;  310.2311;  625.1899;  916.8056;;  319.7876;  621.1254;  938.8198;;  307.8589;  619.1366;  918.7387;;  301.0723;  608.7681;  897.4129;;  307.8742;  608.7681;  952.7330;;  297.7658;  626.4476;  916.5445;;  302.8507;  607.4035;  920.8532
61;  268.7551;  581.8431;  944.5191;;  278.2532;  615.1155;  965.6413;;  303.6944;  559.8991;  952.4675;;  309.6601;  603.1280;  870.2815;;  297.4176;  603.1280;  897.1297;;  304.5892;  592.6238;  858.9908;;  290.9969;  603.1218;  924.1369
62;  303.8907;  637.5313;  986.5194;;  294.2682;  606.7235;  812.9585;;  314.6502;  625.4923;  885.3998;;  284.5083;  583.4103;  891.1686;;  297.5500;  583.4103;  842.3843;;  289.5269;  578.6689;  965.2090;;  298.4338;  633.1059;  907.3000
63;  300.3998;  597.9551;  932.9463;;  301.6763;  600.7571;  874.0643;;  303.9886;  610.1548;  901.1270;;  294.2333;  644.5003;  911.4663;;  297.1185;  644.5003;  902.1743;;  301.6343;  584.3237;  894.9740;;  314.5186;  615.3159;  894.4172
64;  305.4810;  591.4451;  886.2029;;  310.2861;  611.5161;  865.6983;;  283.6774;  583.3384;  892.2985;;  300.1487;  595.7959;  898.1228;;  303.5755;  595.7959;  894.0764;;  309.9877;  640.9693;  946.8943;;  314.9154;  596.7741;  882.8920
65;  304.8065;  606.2608;  939.3680;;  292.7606;  643.9032;  838.5619;;  311.7133;  618.7620;  891.6063;;  305.7223;  598.6186;  934.8278;;  295.8165;  598.6186;  886.1348;;  314.9361;  591.1490;  900.2623;;  286.1516;  605.9237;  945.8693
66;  294.2855;  575.2662;  891.8277;;  284.1037;  600.4195;  863.6185;;  304.9991;  581.6407;  913.8832;;  291.2266;  601.8704;  883.3285;;  301.5557;  601.8704;  913.2350;;  297.5450;  584.5538;  911.6073;;  305.7500;  597.8487;  889.7872
67;  278.1229;  598.3028;  926.2235;;  306.9880;  608.7400;  861.7192;;  310.9147;  623.6305;  926.8532;;  296.0492;  603.4809;  892.3674;;  276.1496;  603.4809;  860.6485;;  309.9533;  611.0702;  906.7078;;  310.0630;  612.4045;  879.5336
68;  305.1488;  594.6180;  977.3692;;  310.8007;  573.7799;  910.6968;;  276.1025;  602.6821;  962.3251;;  293.2562;  613.0657;  853.7685;;  295.3879;  613.0657;  896.5423;;  299.1124;  588.1638;  941.9346;;  283.9671;  607.4725;  877.1274
69;  321.7138;  538.1750;  917.2452;;  295.2789;  624.5043;  920.0712;;  287.6032;  577.2103;  906.5753;;  319.5250;  588.4833;  909.6388;;  286.1726;  588.4833;  892.6895;;  302.2390;  608.2721;  919.3872;;  299.2755;  569.9114;  872.6204
70;  299.1050;  639.0404;  891.3899;;  295.6575;  605.3796;  840.5806;;  302.9120;  624.6650;  878.1825;;  306.9342;  592.0928;  918.1265;;  290.6302;  592.0928;  903.9892;;  302.3165;  608.1416;  920.3489;;  292.9730;  579.7598;  890.1347
71;  286.4220;  611.1143;  882.2423;;  303.0325;  615.6573;  901.2497;;  280.2574;  590.9016;  903.6641;;  303.8989;  589.3519;  923.8635;;  297.9310;  589.3519;  881.5124;;  306.1747;  588.6640;  879.5397;;  284.7331;  627.8634;  899.7594
72;  293.6685;  595.7215;  880.3916;;  283.7655;  585.3406;  873.7470;;  307.6188;  584.1339;  948.3646;;  295.8276;  607.3344;  902.1365;;  285.3884;  607.3344;  873.6901;;  297.8018;  615.2181;  913.1921;;  297.6727;  608.1681;  916.5233
73;  296.4767;  593.7013;  853.8557;;  293.7194;  607.8401;  831.1850;;  301.5147;  627.2015;  928.6657;;  302.6755;  612.3503;  904.8282;;  287.7206;  612.3503;  902.2232;;  304.4435;  619.4582;  904.7352;;  283.6670;  642.4558;  885.1643
74;  299.8086;  593.2074;  907.0292;;  289.8230;  618.3173;  900.8549;;  291.0472;  541.4714;  946.2449;;  298.0838;  585.0113;  884.7889;;  292.8726;  585.0113;  967.4317;;  308.5790;  604.4974;  910.8621;;  297.9930;  631.1326;  869.5485
75;  302.7828;  566.9779;  886.1178;;  305.4542;  608.5889;  883.2866;;  298.2252;  609.3267;  932.6903;;  309.9913;  617.2274;  886.6489;;  302.5870;  617.2274;  923.6431;;  310.0054;  583.8233;  925.1023;;  311.5946;  588.0222;  862.8731
76;  290.7945;  586.3164;  906.0448;;  308.4090;  580.3140;  938.2494;;  314.8996;  590.8079;  853.6160;;  296.3516;  593.3308;  886.1687;;  303.9613;  593.3308;  934.4520;;  310.8544;  586.0709;  948.0148;;  313.4288;  593.5751;  874.1108
77;  327.5246;  582.7322;  950.9721;;  285.8078;  622.1048;  848.7215;;  297.8131;  585.4040;  942.4442;;  289.9500;  580.3541;  910.5216;;  293.5879;  580.3541;  866.7093;;  299.6066;  596.7944;  856.6283;;  307.3411;  620.7133;  854.2398
78;  309.4703;  604.6096;  951.9489;;  314.1572;  600.2718;  937.6265;;  297.5280;  594.5072;  959.0486;;  298.4762;  591.7780;  860.7415;;  294.5895;  591.7780;  914.5822;;  302.9864;  594.8050;  906.9752;;  309.2841;  636.9390;  871.5492
79;  291.7774;  609.3667;  945.4894;;  297.8542;  594.8377;  847.1597;;  307.8975;  604.5586;  813.8256;;  302.6849;  578.0060;  921.0563;;  304.6398;  578.0060;  885.0421;;  301.3980;  586.4351;  916.1211;;  311.8991;  622.5730;  853.7092
80;  320.0137;  621.1097;  872.1302;;  299.2126;  561.8302;  958.8070;;  295.4470;  605.3411;  902.6567;;  311.5191;  600.2292;  882.5378;;  287.5063;  600.2292;  917.8725;;  300.9403;  623.3220;  897.9877;;  304.1781;  579.6954;  933.2052
81;  314.1619;  653.7591;  849.8563;;  315.4301;  592.9458;  979.6979;;  326.4266;  615.0541;  895.4866;;  286.7988;  595.6904;  878.5902;;  297.7465;  595.6904;  912.1230;;  314.8563;  563.2759;  910.2976;;  305.6535;  606.6135;  913.7871
82;  302.6706;  616.4276;  913.6684;;  297.7392;  582.8583;  939.0511;;  295.6443;  616.4899;  867.6548;;  304.7708;  586.9790;  891.2072;;  298.2195;  586.9790;  940.9985;;  302.6175;  603.8495;  883.6491;;  310.6501;  604.8295;  913.5776
83;  307.9017;  588.6016;  907.1303;;  299.3590;  571.9405;  874.0748;;  281.3317;  605.7938;  947.7099;;  294.0095;  605.3386;  934.5842;;  303.2955;  605.3386;  925.0792;;  303.2149;  579.4091;  937.6452;;  283.8971;  627.8457;  928.3665
84;  328.6074;  640.2957;  905.9257;;  307.1481;  597.1626;  912.8917;;  303.8184;  580.8874;  872.7635;;  294.1047;  602.9974;  923.1649;;  313.3084;  602.9974;  869.5365;;  304.9037;  602.1278;  879.6919;;  297.6799;  601.3095;  893.2478
85;  294.8686;  593.6056;  877.5859;;  313.1854;  568.6659;  816.9664;;  299.4929;  620.5488;  898.6093;;  290.7902;  583.9684;  904.3665;;  291.7862;  583.9684;  955.6294;;  310.5520;  564.0967;  903.1534;;  289.9729;  588.3450;  917.8150
86;  279.8440;  627.4343;  990.9109;;  290.5109;  629.4143;  871.0529;;  304.0310;  553.5689;  904.1918;;  283.7658;  564.3218;  878.8043;;  300.1205;  564.3218;  943.6639;;  307.1148;  609.1765;  885.8504;;  288.1164;  602.4947;  867.6384
87;  306.5971;  634.6469;  893.8461;;  263.1394;  602.1724;  905.5203;;  321.4774;  567.5051;  857.7388;;  296.8669;  619.0825;  915.3801;;  296.1864;  619.0825;  945.9439;;  304.2123;  609.2234;  936.0025;;  301.9326;  623.8905;  894.9063
88;  310.1383;  570.7856;  880.0304;;  306.6397;  583.7372;  905.8147;;  304.5181;  583.5355;  899.8362;;  301.6650;  596.8132;  912.7106;;  298.0265;  596.8132;  873.8929;;  295.4767;  619.9416;  888.0559;;  287.1365;  585.3169;  885.6536
89;  283.9423;  556.5250;  937.9806;;  307.3090;  611.3408;  895.4452;;  301.8470;  553.0668;  839.2924;;  286.8864;  609.2487;  907.4030;;  303.9374;  609.2487;  875.4079;;  282.2650;  584.1079;  904.9933;;  298.7847;  610.5698;  870.8798
90;  287.4809;  595.8830;  919.5090;;  272.6078;  618.7173;  951.6948;;  309.7277;  590.4733;  887.9694;;  302.1033;  587.1079;  881.3040;;  304.4155;  587.1079;  880.1589;;  279.3045;  599.9394;  953.8198;;  316.3177;  600.8824;  941.7800
91;  309.9340;  603.0644;  922.6946;;  331.0817;  601.4382;  926.6322;;  288.2664;  632.9372;  903.7014;;  310.7126;  628.8633;  907.5190;;  305.1387;  628.8633;  904.3334;;  308.3807;  589.4940;  934.1018;;  306.9150;  610.3920;  820.5830
92;  319.8613;  604.0670;  927.4647;;  288.6843;  587.4569;  906.9081;;  300.7362;  571.2405;  927.6444;;  301.5277;  604.8370;  897.8641;;  304.7196;  604.8370;  948.7583;;  284.5936;  585.9350;  868.5315;;  300.7574;  577.7490;  899.4039
93;  290.6456;  628.8233;  933.1516;;  313.0130;  632.3140;  958.6574;;  301.7263;  558.4419;  937.2858;;  296.5257;  613.1916;  888.6760;;  302.2850;  613.1916;  909.9667;;  307.8543;  592.5298;  877.4009;;  292.6579;  596.3531;  874.3095
94;  311.7945;  552.2516;  898.4953;;  312.1178;  617.5857;  849.0307;;  293.3901;  592.2625;  930.7863;;  294.8325;  594.6120;  908.6372;;  296.4873;  594.6120;  932.6879;;  300.9251;  601.7959;  951.7850;;  299.7698;  597.7716;  915.8979
95;  296.7586;  587.6201;  882.3384;;  286.7354;  584.3189;  877.8586;;  306.8270;  620.8417;  825.9808;;  292.0677;  590.7804;  909.0004;;  305.5810;  590.7804;  926.2549;;  296.2639;  601.2154;  919.9473;;  311.6432;  593.2541;  941.2195
96;  296.7500;  596.5708;  863.2247;;  305.3279;  596.5119;  917.5713;;  280.2434;  636.6090;  908.5543;;  306.9042;  586.4262;  877.3512;;  293.5358;  586.4262;  862.4829;;  292.3320;  595.5802;  810.0372;;  316.8165;  604.0243;  905.3673
97;  305.9389;  628.3156;  918.8672;;  279.3910;  567.4552;  947.6101;;  309.7939;  614.1201;  934.9302;;  281.6288;  590.9823;  934.2619;;  296.9268;  590.9823;  865.5829;;  300.3842;  623.8795;  898.8842;;  314.9219;  618.4436;  909.6628
98;  293.1818;  610.5733;  872.0129;;  306.2950;  589.6265;  892.0034;;  285.9581;  657.6163;  837.1160;;  287.1819;  591.2232;  871.0875;;  290.9509;  591.2232;  898.2461;;  307.8690;  604.6873;  956.0664;;  300.0422;  623.1577;  893.7699
99;  289.1785;  604.3998;  916.8808;;  306.1953;  617.5908;  836.3426;;  305.5235;  587.6195;  941.6631;;  307.3137;  578.7759;  892.9782;;  290.8334;  578.7759;  888.3980;;  305.7325;  618.7142;  884.2149;;  280.8688;  601.5737;  839.5792
100;  294.7816;  590.4117;  925.3389;;  317.8705;  598.5258;  890.2080;;  310.4885;  644.9998;  853.8815;;  301.9581;  609.1184;  866.0519;;  287.4210;  609.1184;  979.6515;;  293.6345;  578.1313;  874.2781;;  295.0142;  575.1713;  910.6342
