;i=1;i=1;i=1;i=1;;i=2;i=2;i=2;i=2;;i=3;i=3;i=3;i=3;;i=4;i=4;i=4;i=4;;i=5;i=5;i=5;i=5;;i=6;i=6;i=6;i=6;;i=7;i=7;i=7;i=7
10;  147.9405;  295.5085;  457.0400;  672.9642;;  147.1966;  294.9282;  439.5753;  678.2469;;  147.6421;  306.0718;  445.9305;  651.8035;;  146.4487;  303.9275;  424.4238;  641.1823;;  149.3321;  296.7752;  452.2546;  652.3631;;  150.3076;  301.7423;  441.5684;  653.0363;;  149.8149;  301.0455;  450.3686;  654.6406
11;  144.6924;  291.3407;  444.0925;  646.9014;;  153.6732;  293.0566;  433.7821;  640.6852;;  146.1282;  297.3730;  446.9127;  663.1269;;  150.2228;  295.5704;  457.4288;  665.6380;;  150.7757;  299.3475;  453.1169;  650.6744;;  146.2388;  295.3164;  449.3371;  659.1099;;  147.1162;  295.9215;  452.1469;  642.6665
12;  147.1592;  296.8995;  446.9971;  667.8872;;  149.9032;  307.0811;  457.4770;  648.8391;;  150.8706;  299.0720;  448.8339;  634.3573;;  149.5987;  296.3831;  461.1388;  653.6375;;  149.4180;  294.0038;  444.5498;  648.4603;;  152.6822;  299.9534;  455.1288;  656.1703;;  148.9917;  304.1509;  454.6981;  657.6298
13;  146.8529;  296.2848;  450.3365;  672.6048;;  148.9582;  304.3803;  457.3988;  637.2302;;  154.7293;  301.7541;  455.4997;  653.9913;;  148.0375;  304.1343;  448.0312;  649.1474;;  149.0754;  299.7302;  444.6187;  652.8214;;  152.1999;  301.1112;  450.9605;  650.8533;;  149.1839;  306.4056;  446.1276;  659.6719
14;  148.8977;  299.3794;  456.0971;  668.4749;;  155.0456;  302.9021;  449.7004;  648.8852;;  148.9209;  296.0259;  449.6273;  654.4184;;  152.3951;  292.0760;  449.1246;  644.1488;;  150.6616;  298.8426;  451.6502;  632.6474;;  148.6866;  300.3923;  448.7366;  643.8829;;  153.1107;  295.2282;  434.1929;  633.9993
15;  145.8608;  301.8629;  462.9266;  669.0769;;  153.6147;  308.2516;  455.1463;  628.0204;;  150.1184;  288.2988;  448.5736;  648.4297;;  148.3986;  301.2082;  467.8433;  663.7053;;  151.3487;  300.5970;  449.4399;  651.8899;;  151.3929;  303.9126;  453.3421;  648.9104;;  151.1523;  301.2740;  462.3393;  675.3411
16;  149.4259;  294.3988;  461.9630;  650.0666;;  149.0666;  298.3865;  433.7437;  628.3261;;  156.0258;  296.2904;  461.4510;  662.3044;;  145.6451;  296.4175;  455.3215;  656.9576;;  149.9696;  300.3191;  451.2830;  651.3783;;  150.1337;  308.2385;  456.9600;  647.0023;;  148.5419;  301.1312;  458.4720;  668.0150
17;  152.0259;  308.8296;  443.3145;  643.9518;;  147.0463;  300.9294;  466.9100;  660.8625;;  149.5651;  297.1412;  467.9586;  649.3083;;  155.2651;  296.7577;  460.9681;  654.7658;;  148.6183;  300.7731;  448.3354;  651.4317;;  151.1367;  302.1386;  456.3096;  642.5774;;  147.1161;  306.6200;  441.6312;  633.9652
18;  152.1001;  294.1363;  434.9623;  638.4504;;  146.2030;  297.1392;  433.9299;  638.6356;;  152.6352;  304.9251;  448.2637;  650.4975;;  154.0778;  301.5525;  454.3832;  669.7220;;  152.8471;  302.3753;  453.3572;  645.3240;;  150.3450;  296.9899;  457.7337;  649.8960;;  153.4691;  289.9589;  455.3396;  695.2207
19;  154.4487;  296.8612;  461.4336;  657.7282;;  149.6470;  291.1161;  463.3658;  652.3729;;  150.5431;  296.7529;  448.8836;  644.3877;;  146.0612;  283.9213;  450.9651;  651.0549;;  148.0477;  297.7200;  450.1454;  643.8089;;  149.2290;  303.3898;  451.7488;  642.0370;;  150.3750;  303.1302;  453.7426;  642.3048
20;  149.8023;  294.1017;  456.7968;  648.5813;;  151.1441;  298.8920;  444.7040;  645.4210;;  145.2145;  311.7848;  447.0379;  668.1351;;  153.3589;  301.5159;  453.3601;  641.9238;;  148.4435;  299.5914;  459.4563;  645.9543;;  152.0500;  299.6968;  449.5428;  649.7677;;  147.5286;  296.5705;  446.9754;  652.4019
21;  149.1739;  295.1986;  448.0290;  659.5445;;  142.2979;  304.6536;  462.3818;  673.5121;;  155.1879;  303.6239;  442.4921;  650.9307;;  148.5242;  290.3587;  436.9264;  630.7648;;  149.6604;  297.4849;  451.7487;  639.4884;;  151.1673;  296.3709;  450.1731;  655.5407;;  148.9994;  303.8696;  450.2330;  656.5199
22;  153.2662;  308.2190;  462.4477;  635.9275;;  144.3708;  293.7792;  447.8777;  644.8075;;  148.8772;  299.0791;  458.2914;  650.8459;;  151.6478;  290.1154;  476.3056;  671.7310;;  148.7586;  297.2396;  442.8452;  667.8415;;  146.6892;  303.2223;  454.2704;  646.5236;;  152.6040;  310.5156;  447.5165;  655.3754
23;  144.9849;  299.5915;  447.8461;  653.9692;;  150.6436;  302.6817;  446.5656;  670.0740;;  153.8164;  295.6520;  452.0171;  674.1354;;  152.7102;  301.4750;  453.7353;  648.8296;;  152.0948;  299.0767;  452.5089;  644.3081;;  152.1828;  299.2540;  443.7257;  660.0834;;  151.0986;  297.9296;  455.1141;  648.3248
24;  148.7152;  299.9146;  461.2493;  649.4152;;  151.5888;  306.2431;  457.9547;  658.4616;;  150.8343;  301.7397;  432.7982;  653.6365;;  152.3898;  304.7446;  455.8630;  653.9950;;  150.2839;  299.7842;  455.7722;  653.3262;;  151.0691;  301.1776;  453.5982;  645.0994;;  146.1558;  296.2903;  438.1729;  641.2414
25;  144.1365;  295.0031;  440.3015;  646.3893;;  151.7665;  299.4269;  436.8240;  653.5680;;  147.3312;  305.0415;  428.2399;  638.0509;;  153.9646;  301.4974;  452.1288;  650.2454;;  149.6750;  305.2663;  452.7579;  650.6939;;  150.8807;  293.8823;  448.2831;  638.4380;;  151.2088;  310.0738;  454.1862;  663.0502
26;  148.1341;  293.1423;  457.8486;  676.4754;;  155.5058;  312.6096;  452.5590;  651.6471;;  148.2308;  286.3754;  458.1602;  637.7923;;  154.8298;  298.7383;  462.2479;  624.1351;;  152.2792;  300.4575;  443.9198;  651.3016;;  147.5803;  295.0039;  441.2505;  654.4473;;  150.1974;  295.5925;  449.2863;  643.9941
27;  146.8227;  296.9840;  468.0055;  637.1225;;  149.8960;  305.7887;  450.0583;  663.3231;;  150.7554;  299.5432;  446.0476;  657.2813;;  148.0278;  294.4926;  443.8003;  659.4630;;  149.2830;  301.8996;  453.0903;  635.1270;;  148.4302;  307.9517;  447.1154;  655.0420;;  149.1499;  299.6759;  450.9728;  646.6866
28;  150.0192;  298.5066;  445.0104;  649.7753;;  146.1440;  294.9876;  453.5007;  642.7081;;  152.9638;  292.2586;  431.5441;  644.7312;;  154.3182;  300.4863;  437.3955;  638.2201;;  150.9670;  297.2371;  449.5448;  662.5224;;  149.8911;  297.1434;  454.5826;  657.5803;;  148.3863;  297.2850;  447.6456;  635.7433
29;  153.2420;  300.6722;  463.4904;  647.7542;;  153.8462;  291.7657;  441.1149;  659.1407;;  148.0247;  298.8605;  471.2892;  663.4052;;  152.3073;  301.3201;  439.3990;  636.7486;;  148.7644;  298.2949;  446.4943;  653.0030;;  149.9745;  295.8191;  449.3811;  642.9836;;  149.3289;  295.7813;  448.9446;  640.6309
30;  143.7451;  289.6650;  471.4908;  652.0592;;  150.8043;  305.4870;  465.8763;  647.6843;;  149.3431;  297.0588;  459.4616;  634.8931;;  147.0247;  284.8329;  455.7557;  648.8583;;  149.4961;  297.6707;  449.2239;  645.6404;;  152.4116;  303.8642;  451.4118;  646.9242;;  155.1855;  311.7641;  453.1797;  644.3029
31;  152.5680;  307.2124;  453.3962;  643.3564;;  147.8854;  287.9188;  441.7266;  644.9020;;  151.2823;  301.5618;  443.0216;  657.8325;;  151.5175;  292.1308;  453.7679;  654.1808;;  148.3843;  298.7320;  442.0093;  644.5457;;  148.3760;  303.2171;  450.7363;  652.3501;;  148.2601;  298.8595;  469.0561;  640.6058
32;  152.0782;  295.7287;  448.8266;  608.2683;;  150.2361;  300.1664;  440.3864;  609.4039;;  153.0021;  290.7766;  455.7589;  644.0074;;  148.4730;  297.8556;  440.2414;  652.2663;;  150.5244;  301.2244;  451.4981;  639.8068;;  149.1082;  301.4790;  443.9113;  650.5742;;  153.5203;  301.7122;  443.1741;  653.9459
33;  146.0318;  305.7419;  447.3463;  625.2545;;  148.2744;  303.4049;  460.6915;  628.1557;;  153.1775;  305.6252;  453.0548;  634.1833;;  152.3687;  285.1917;  438.8436;  631.7811;;  148.7290;  300.5465;  447.8794;  647.4684;;  149.3284;  296.9671;  449.2543;  646.0375;;  151.5301;  305.5535;  452.0815;  646.0407
34;  149.1814;  301.6638;  452.9310;  651.4508;;  145.8719;  302.5543;  455.3038;  645.6872;;  148.2728;  310.4399;  446.7414;  650.6475;;  152.0824;  300.5218;  447.9655;  664.9674;;  148.8173;  302.7831;  455.2180;  635.7612;;  150.9172;  302.9522;  445.3953;  646.3122;;  150.9283;  308.5888;  442.9473;  669.5914
35;  145.3486;  298.7616;  446.8110;  663.7841;;  146.7267;  309.9023;  442.2269;  641.8770;;  151.7317;  290.6456;  440.2042;  634.7461;;  147.1292;  301.0394;  450.4516;  631.8678;;  150.5754;  305.1054;  444.6933;  640.3457;;  148.7826;  297.7949;  447.4947;  652.4188;;  155.3186;  303.3154;  449.6913;  664.4039
36;  147.8226;  300.0816;  457.1125;  645.6866;;  141.5237;  310.5050;  459.4212;  649.1608;;  149.4116;  301.0683;  449.0784;  666.1454;;  152.3105;  310.1758;  450.2184;  629.1929;;  151.5050;  302.3101;  455.9504;  661.1924;;  151.2055;  294.6743;  446.6518;  661.8912;;  149.8931;  299.2854;  452.2876;  620.9388
37;  151.1116;  299.2396;  460.1206;  657.9204;;  147.1903;  302.8088;  428.7553;  657.6078;;  150.2294;  292.6680;  446.6714;  656.3244;;  152.8873;  300.5675;  439.0687;  619.8417;;  147.7002;  298.5705;  451.6464;  650.2934;;  150.0532;  294.1715;  451.5673;  652.9647;;  150.0116;  293.2580;  441.8573;  649.4107
38;  155.0004;  304.7733;  438.6109;  654.3115;;  151.2167;  294.8656;  450.2938;  657.8288;;  151.0107;  293.6944;  447.5837;  673.4584;;  149.4011;  302.1014;  447.7344;  657.3346;;  148.5831;  297.6663;  454.8647;  655.2929;;  149.2427;  298.0381;  448.4083;  653.6189;;  148.6344;  292.8049;  452.8112;  659.8407
39;  149.2901;  300.3578;  447.3851;  660.1210;;  155.4555;  299.4918;  452.3970;  642.4421;;  148.5739;  296.1024;  433.1666;  641.9861;;  150.0789;  306.3699;  449.3106;  654.5564;;  149.7193;  303.3922;  457.4523;  660.2093;;  149.5353;  302.6170;  442.5929;  657.0449;;  150.4686;  297.0568;  441.5519;  638.1872
40;  151.4898;  297.2440;  447.5032;  648.0234;;  148.3770;  308.2806;  447.0004;  654.0047;;  151.5194;  313.7327;  450.2566;  670.1464;;  147.7701;  305.5022;  433.2781;  649.1464;;  148.5206;  300.4676;  449.9893;  649.2181;;  151.5469;  297.3218;  447.4894;  650.7712;;  151.0902;  298.3310;  439.6190;  661.5129
41;  148.7046;  304.9566;  467.8883;  663.6271;;  151.7629;  298.0882;  434.1585;  662.8182;;  145.1413;  297.5265;  439.0140;  663.2613;;  148.6594;  298.6358;  435.2601;  635.2753;;  148.2278;  298.9626;  449.5945;  651.3238;;  149.2904;  297.6565;  451.4254;  645.9009;;  151.9927;  289.2975;  434.9068;  647.6060
42;  150.7545;  295.4417;  453.9058;  670.1677;;  148.7781;  306.5451;  460.9108;  649.5105;;  150.8214;  305.3701;  450.8483;  643.9549;;  152.3214;  295.7212;  444.4354;  647.8515;;  148.5400;  305.3836;  452.1962;  635.7908;;  149.8589;  303.6399;  453.6736;  655.9441;;  153.3605;  293.6352;  451.7381;  660.8305
43;  145.4755;  307.7303;  457.9058;  639.0335;;  155.4847;  292.4120;  450.8856;  657.7915;;  151.6921;  303.0492;  457.1411;  668.1424;;  148.4365;  297.2087;  440.3434;  666.8660;;  151.9662;  296.6123;  442.6678;  644.5804;;  149.7227;  299.5138;  447.9121;  674.1580;;  150.1716;  302.9596;  427.9489;  649.3382
44;  154.3152;  298.4723;  449.4572;  657.0511;;  149.9277;  301.5024;  463.4197;  648.0421;;  147.6789;  298.5774;  453.0356;  648.6092;;  154.7965;  302.5555;  454.5631;  613.7142;;  150.3728;  296.0614;  446.0096;  644.3936;;  150.8772;  294.0006;  450.0485;  642.2951;;  149.1754;  298.1459;  448.3564;  660.4468
45;  149.3875;  300.3457;  457.0851;  628.0756;;  156.2344;  292.7523;  451.8775;  659.6051;;  155.7398;  304.0155;  457.1595;  642.9157;;  154.7791;  292.4660;  462.5907;  635.8445;;  146.6123;  302.4856;  454.8856;  657.6448;;  147.7469;  305.0678;  441.4567;  645.4116;;  147.8658;  300.2742;  458.4828;  659.8596
46;  152.6260;  309.5893;  445.4688;  664.6542;;  150.0486;  289.9234;  425.3403;  643.8571;;  149.3507;  300.2568;  451.7283;  637.2997;;  140.7932;  294.4729;  464.2997;  660.8282;;  150.3689;  307.3210;  451.2543;  654.4317;;  149.2970;  297.3273;  448.0401;  651.7781;;  154.7827;  301.6005;  456.4263;  670.3477
47;  148.5408;  293.6068;  446.6181;  654.3726;;  147.2998;  305.1778;  450.0348;  636.8669;;  150.9799;  296.1848;  445.6179;  658.6349;;  146.3070;  291.9116;  453.7407;  630.5577;;  149.8183;  299.8704;  449.5014;  646.7830;;  148.5064;  300.6606;  452.2146;  644.7974;;  143.2067;  301.8191;  443.3037;  647.0471
48;  149.6751;  288.7949;  457.3790;  647.9022;;  149.0382;  302.3895;  443.4105;  625.1072;;  146.5283;  290.1924;  448.7074;  649.8940;;  142.6494;  307.5547;  463.5341;  654.6949;;  149.2923;  299.0290;  450.1546;  643.8444;;  150.4778;  301.4613;  453.9361;  659.5401;;  151.5894;  295.0324;  424.9432;  664.5108
49;  154.9857;  306.5952;  450.4069;  654.5525;;  146.5168;  289.9291;  439.5676;  632.9776;;  149.2960;  303.7253;  454.2179;  655.8132;;  147.1161;  295.6306;  448.0160;  643.4583;;  152.9684;  300.6196;  450.3879;  642.0427;;  149.1589;  301.4706;  442.9648;  651.8368;;  148.8874;  310.0719;  448.6238;  632.9098
50;  152.5283;  297.5873;  461.4082;  635.0818;;  144.4911;  304.2701;  450.4499;  637.8258;;  150.7889;  293.5851;  477.6848;  662.1542;;  148.1568;  304.0744;  450.5503;  650.3757;;  149.3968;  299.3936;  452.3703;  652.6524;;  148.7724;  303.9279;  453.2617;  646.2458;;  152.8502;  318.4849;  455.8596;  671.0577
51;  140.1434;  295.4370;  450.6668;  656.7111;;  144.3551;  298.3638;  453.6838;  623.2668;;  144.5711;  298.5300;  438.0509;  656.2662;;  151.1774;  295.7189;  453.1877;  640.4759;;  151.0805;  294.5340;  449.4485;  658.2953;;  151.3918;  296.4893;  450.6744;  645.5027;;  151.2896;  303.7053;  449.6321;  654.1713
52;  149.8358;  305.3875;  451.4197;  651.8446;;  151.5194;  298.0411;  429.0232;  636.6198;;  149.4743;  295.7643;  453.8044;  652.1640;;  152.7569;  298.1315;  453.4318;  617.7194;;  150.7814;  302.7899;  450.2313;  639.8608;;  150.3909;  300.5258;  458.2039;  652.3890;;  151.2232;  298.2051;  461.7994;  644.0532
53;  145.0728;  292.2129;  433.5242;  665.9308;;  153.7287;  301.0355;  452.7233;  648.8386;;  145.5122;  294.8424;  459.4415;  656.9113;;  156.6654;  301.9027;  432.5464;  657.9670;;  149.3244;  299.5116;  448.2590;  648.2756;;  148.6232;  301.2274;  452.9713;  650.9543;;  149.5571;  300.3433;  447.0872;  673.6960
54;  154.5688;  299.6765;  445.1759;  638.0731;;  151.1848;  297.4198;  450.3239;  646.0499;;  154.4003;  307.8578;  451.2758;  642.1744;;  152.8130;  291.5954;  457.8613;  642.6055;;  151.7543;  297.0256;  449.6629;  651.9711;;  148.3225;  303.9805;  451.4725;  644.6942;;  150.5781;  297.7629;  462.3909;  637.7435
55;  149.1644;  312.3145;  436.9550;  650.3968;;  150.9709;  302.7751;  452.0069;  648.9710;;  147.3253;  294.7183;  436.4632;  668.8470;;  148.9397;  301.7265;  455.0355;  663.8233;;  149.5111;  300.9037;  445.3409;  649.1239;;  148.9697;  298.1998;  443.2503;  654.7000;;  146.1753;  300.8949;  433.3937;  653.9395
56;  151.6477;  303.0413;  456.6743;  643.6261;;  147.2193;  299.7415;  452.6857;  652.3937;;  157.3635;  306.7617;  465.5089;  629.1304;;  148.8737;  305.0215;  450.7840;  650.8111;;  152.5118;  297.4263;  449.8646;  652.4810;;  147.6475;  299.5189;  444.3960;  635.5769;;  150.9360;  299.5887;  441.7498;  640.6056
57;  153.6064;  296.4651;  447.7028;  667.9009;;  147.5834;  301.7957;  434.4106;  635.5199;;  152.6189;  295.9364;  461.7561;  660.0704;;  152.6090;  297.8065;  457.9123;  637.3624;;  150.3442;  293.7090;  451.6157;  654.4462;;  149.2375;  304.3801;  444.7276;  646.3016;;  147.9335;  286.3729;  448.2320;  656.4959
58;  152.3002;  297.9851;  450.5954;  650.0955;;  153.7957;  301.9817;  442.6908;  655.3765;;  151.3882;  301.4668;  460.9603;  668.5013;;  151.7825;  305.1848;  449.5192;  659.9711;;  147.2725;  301.1427;  448.7370;  648.3035;;  149.1692;  300.2743;  453.0051;  646.7453;;  148.3644;  289.3699;  458.4350;  657.4422
59;  150.3283;  294.4207;  455.2173;  635.6997;;  150.0875;  301.2608;  443.9570;  643.9741;;  153.7417;  292.6276;  445.2994;  670.3023;;  142.3422;  292.8682;  456.1299;  653.6975;;  149.1024;  295.9433;  451.4022;  646.0259;;  149.8025;  297.2357;  451.1427;  662.1250;;  147.9257;  303.5229;  455.9428;  647.0926
60;  150.6406;  298.4007;  442.8117;  653.8413;;  149.0782;  297.0466;  438.2581;  678.0479;;  148.1974;  302.3505;  452.4530;  650.5519;;  149.2580;  310.9936;  457.9528;  668.2470;;  151.9811;  300.5923;  450.6182;  652.6467;;  150.1708;  297.0204;  449.3461;  652.7877;;  148.8409;  306.6517;  451.0210;  658.5777
61;  152.2339;  303.2075;  450.4777;  664.1252;;  147.9377;  297.6525;  440.4683;  648.2450;;  151.4077;  301.3014;  460.7377;  665.2091;;  153.1708;  299.8027;  458.9898;  649.5345;;  148.1246;  296.0242;  446.1292;  647.5257;;  148.6111;  302.4838;  450.1803;  643.1891;;  150.2631;  306.9359;  451.5542;  639.8539
62;  154.4288;  301.9445;  454.4383;  653.0610;;  154.0968;  294.5694;  453.6745;  632.3254;;  154.5032;  312.0858;  456.8384;  622.2191;;  152.5080;  300.1402;  449.5301;  631.0618;;  150.9093;  303.0318;  452.7731;  648.7130;;  150.7414;  303.6946;  449.9905;  656.3197;;  152.7263;  304.5263;  460.7229;  642.3778
63;  151.8740;  305.2782;  443.6081;  622.7782;;  150.4567;  298.0163;  456.5120;  651.0348;;  147.2527;  309.5167;  444.3126;  652.4926;;  146.8537;  294.8772;  440.0959;  652.5367;;  149.5880;  296.1477;  441.8722;  649.4940;;  151.7084;  302.0201;  450.6914;  648.4306;;  150.0530;  300.8281;  453.4572;  648.3118
64;  150.9587;  308.2065;  435.9674;  674.2013;;  141.4016;  298.1877;  432.8787;  620.2159;;  150.6174;  297.0108;  452.8877;  647.1656;;  150.1436;  300.9670;  449.1059;  641.7886;;  148.6099;  294.3933;  447.3446;  654.0868;;  150.7778;  300.6110;  443.1216;  651.7056;;  155.1079;  301.0265;  455.9485;  663.8768
65;  145.5366;  297.8155;  458.9246;  647.8256;;  148.7520;  295.1435;  440.9258;  654.9859;;  147.0557;  304.8454;  460.7453;  638.1614;;  154.3169;  287.3266;  440.4173;  658.5703;;  148.4409;  302.1519;  441.2628;  649.1342;;  147.8721;  292.5265;  461.6223;  647.1891;;  147.3726;  296.6296;  461.4894;  647.8165
66;  141.5746;  295.1268;  427.5275;  668.1087;;  152.2382;  304.4293;  463.4354;  646.5427;;  147.8192;  299.6806;  445.9297;  653.1654;;  150.6803;  305.9760;  442.0051;  636.0614;;  149.9181;  300.4713;  451.4878;  649.8666;;  148.5610;  299.5034;  454.8469;  654.3432;;  147.0845;  304.2192;  440.5251;  673.5295
67;  149.5199;  287.8991;  454.5711;  670.9704;;  152.5010;  303.1562;  461.7983;  634.0898;;  155.5813;  297.3420;  458.1804;  632.9052;;  155.4850;  298.2864;  454.8354;  634.6039;;  151.2586;  299.5245;  450.0197;  653.8279;;  148.3194;  299.0141;  448.5514;  646.5811;;  153.3310;  284.0212;  463.2622;  641.7661
68;  145.7893;  307.8784;  463.0148;  651.7937;;  154.5124;  307.0889;  449.2043;  630.5584;;  151.7635;  297.8970;  444.3200;  676.3703;;  153.6690;  301.2437;  447.0719;  658.7476;;  151.6200;  297.5416;  453.0100;  638.3409;;  151.8466;  298.1185;  443.2093;  654.6011;;  152.7620;  303.0489;  458.8035;  649.2598
69;  149.2311;  300.8531;  458.3516;  634.0787;;  152.7581;  300.6686;  429.5375;  651.9572;;  154.4131;  296.5210;  452.5479;  669.3919;;  149.6164;  314.2873;  458.8544;  647.1597;;  149.3845;  299.8984;  449.9001;  652.1492;;  150.7314;  306.0942;  448.2878;  648.3906;;  152.5928;  294.5517;  452.0615;  664.9940
70;  146.3586;  293.6906;  443.9868;  669.6257;;  145.3998;  314.8911;  471.3646;  665.3228;;  150.7156;  295.1350;  448.2257;  637.7082;;  144.7781;  291.1979;  460.8080;  635.9851;;  149.2979;  299.4986;  455.0639;  660.9918;;  147.5417;  297.6374;  452.8655;  654.6843;;  149.2680;  304.2803;  428.6980;  644.5451
71;  146.4079;  309.6360;  445.9129;  625.7553;;  151.6213;  301.9576;  452.6370;  644.0315;;  147.9239;  294.4925;  460.8986;  635.3303;;  148.4467;  307.0219;  451.9763;  641.4612;;  152.1671;  301.0380;  444.6905;  643.5337;;  149.8847;  301.4405;  447.8541;  647.3659;;  158.2954;  292.8239;  438.7024;  658.2554
72;  150.9474;  301.1935;  459.7570;  678.3564;;  147.3893;  305.2791;  438.4708;  645.1243;;  147.6110;  296.2259;  445.4281;  632.6209;;  153.5490;  287.6008;  436.7745;  634.0544;;  150.0261;  301.0928;  453.9284;  646.1816;;  148.1760;  292.1396;  441.1534;  649.0323;;  148.5369;  300.2367;  461.8644;  650.3409
73;  146.0751;  293.2450;  445.5559;  643.8726;;  157.3523;  295.9994;  441.2146;  633.9386;;  152.7777;  305.8611;  475.2402;  673.6819;;  145.3639;  302.5264;  450.3228;  640.3038;;  150.4900;  298.9095;  448.3833;  650.4716;;  149.9782;  299.0732;  450.5426;  637.9627;;  152.9331;  305.6635;  452.4462;  656.4732
74;  150.2156;  307.2490;  455.2456;  635.6324;;  148.6041;  292.2659;  448.1386;  652.0278;;  151.0157;  299.6594;  446.6282;  633.1233;;  152.5552;  306.2630;  449.9052;  655.5767;;  146.2260;  300.0092;  455.5964;  642.9554;;  148.0562;  301.1241;  443.4623;  654.0866;;  148.2298;  299.4383;  446.7579;  651.0265
75;  156.6070;  292.4279;  452.3884;  646.7013;;  148.6906;  293.9822;  461.0570;  644.1431;;  147.9560;  301.2343;  441.0599;  642.3331;;  144.2603;  300.4383;  461.8852;  650.9105;;  150.3755;  297.6802;  451.4769;  656.9635;;  148.2661;  304.4405;  452.0854;  649.8891;;  145.8464;  297.1812;  453.7714;  656.5520
76;  152.2152;  300.9789;  442.0351;  650.6598;;  149.0925;  305.1858;  441.6588;  661.6938;;  143.8616;  300.3028;  448.9830;  670.4762;;  146.2679;  301.1325;  458.1060;  641.8794;;  151.2386;  297.8219;  455.7311;  659.8977;;  149.5165;  299.8835;  450.8671;  643.2273;;  149.5897;  301.2154;  445.4365;  651.3039
77;  151.0416;  302.5975;  475.3807;  642.6751;;  147.7111;  293.7073;  441.9472;  653.9642;;  150.1380;  305.0988;  440.5497;  646.2075;;  155.5380;  293.3061;  459.6600;  640.0551;;  146.4016;  303.4408;  448.3802;  651.3875;;  151.4707;  298.2621;  441.7343;  646.7006;;  154.1415;  301.0082;  461.9561;  644.1970
