Sc‚nario;i=1;;i=2;;i=3;;i=4;;i=5;;i=6;;i=7;
25;    0.7619;;    0.8121;;    0.7324;;    0.6683;;    0.7113;;    0.7678;;    0.7770;
26;    0.7829;;    0.7799;;    0.7289;;    0.6824;;    0.7305;;    0.7933;;    0.7940;
27;    0.8076;;    0.7844;;    0.7313;;    0.6665;;    0.7270;;    0.7755;;    0.8005;
28;    0.7879;;    0.7483;;    0.7416;;    0.6806;;    0.7326;;    0.7770;;    0.7968;
29;    0.7935;;    0.7906;;    0.7370;;    0.6826;;    0.7337;;    0.7718;;    0.7998;
30;    0.7743;;    0.8035;;    0.7369;;    0.6823;;    0.7235;;    0.7806;;    0.7855;
31;    0.8147;;    0.7792;;    0.7298;;    0.6359;;    0.7303;;    0.7811;;    0.7926;
32;    0.8127;;    0.7651;;    0.7222;;    0.6787;;    0.7311;;    0.7746;;    0.7732;
33;    0.7840;;    0.7580;;    0.7285;;    0.7027;;    0.7290;;    0.7914;;    0.7520;
34;    0.7936;;    0.7829;;    0.7237;;    0.6698;;    0.7263;;    0.7815;;    0.8078;
35;    0.8025;;    0.7807;;    0.7412;;    0.6861;;    0.7347;;    0.7895;;    0.8156;
36;    0.7853;;    0.7794;;    0.7052;;    0.6853;;    0.7252;;    0.7887;;    0.7810;
37;    0.7856;;    0.7759;;    0.7368;;    0.6723;;    0.7305;;    0.7792;;    0.8001;
38;    0.7880;;    0.7715;;    0.7292;;    0.6921;;    0.7376;;    0.7761;;    0.7828;
39;    0.7674;;    0.7822;;    0.7282;;    0.6985;;    0.7270;;    0.7636;;    0.7849;
40;    0.7995;;    0.7731;;    0.7178;;    0.6664;;    0.7268;;    0.7900;;    0.7815;
41;    0.8080;;    0.7809;;    0.7407;;    0.6815;;    0.7239;;    0.7766;;    0.8006;
42;    0.7597;;    0.7770;;    0.7447;;    0.6722;;    0.7196;;    0.7874;;    0.7945;
43;    0.7719;;    0.7625;;    0.7333;;    0.6766;;    0.7255;;    0.7748;;    0.7975;
44;    0.7901;;    0.7744;;    0.7225;;    0.6892;;    0.7214;;    0.7847;;    0.8037;
45;    0.8090;;    0.7753;;    0.7241;;    0.6887;;    0.7246;;    0.7861;;    0.7899;
46;    0.7893;;    0.7635;;    0.7458;;    0.6839;;    0.7276;;    0.7872;;    0.7734;
47;    0.7947;;    0.7857;;    0.7215;;    0.6964;;    0.7265;;    0.7744;;    0.7944;
48;    0.7838;;    0.7697;;    0.7457;;    0.6686;;    0.7356;;    0.7733;;    0.7650;
49;    0.7656;;    0.7772;;    0.7454;;    0.6929;;    0.7268;;    0.7772;;    0.7758;
50;    0.7813;;    0.7853;;    0.7049;;    0.6712;;    0.7295;;    0.7878;;    0.8014;
51;    0.7697;;    0.7893;;    0.7386;;    0.6700;;    0.7370;;    0.7845;;    0.7770;
52;    0.8147;;    0.7821;;    0.7334;;    0.6662;;    0.7411;;    0.7906;;    0.7803;
53;    0.7932;;    0.7701;;    0.6966;;    0.6849;;    0.7471;;    0.7744;;    0.7826;
54;    0.8116;;    0.7974;;    0.7113;;    0.6748;;    0.7383;;    0.7920;;    0.7746;
55;    0.7813;;    0.7732;;    0.7259;;    0.7082;;    0.7255;;    0.7779;;    0.7528;
56;    0.7918;;    0.7967;;    0.7181;;    0.6653;;    0.7224;;    0.7813;;    0.7945;
57;    0.8145;;    0.7764;;    0.7307;;    0.6858;;    0.7380;;    0.7881;;    0.7935;
58;    0.8079;;    0.7979;;    0.7093;;    0.6856;;    0.7391;;    0.7929;;    0.7678;
59;    0.7769;;    0.7928;;    0.7590;;    0.6626;;    0.7227;;    0.7690;;    0.7977;
60;    0.7829;;    0.7855;;    0.7282;;    0.6935;;    0.7291;;    0.7841;;    0.7963;
61;    0.8012;;    0.7658;;    0.7250;;    0.6976;;    0.7383;;    0.7856;;    0.8170;
62;    0.8034;;    0.7872;;    0.7305;;    0.6916;;    0.7254;;    0.7758;;    0.7605;
63;    0.7847;;    0.7804;;    0.7375;;    0.6818;;    0.7305;;    0.7813;;    0.8130;
64;    0.8118;;    0.8048;;    0.7267;;    0.6677;;    0.7374;;    0.7753;;    0.7886;
65;    0.7770;;    0.7778;;    0.7526;;    0.6732;;    0.7438;;    0.7782;;    0.7898;
66;    0.8127;;    0.7920;;    0.7337;;    0.6904;;    0.7370;;    0.7762;;    0.8106;
67;    0.7969;;    0.7619;;    0.7438;;    0.6794;;    0.7346;;    0.7668;;    0.8036;
68;    0.7902;;    0.7778;;    0.7181;;    0.6764;;    0.7306;;    0.7952;;    0.7777;
69;    0.7771;;    0.7910;;    0.7149;;    0.6898;;    0.7391;;    0.8019;;    0.7667;
70;    0.7976;;    0.7916;;    0.7430;;    0.6625;;    0.7409;;    0.7746;;    0.7935;
71;    0.7970;;    0.7689;;    0.7339;;    0.6675;;    0.7384;;    0.7854;;    0.7798;
72;    0.7811;;    0.7814;;    0.7458;;    0.6648;;    0.7243;;    0.7834;;    0.7632;
73;    0.8058;;    0.7661;;    0.7158;;    0.6954;;    0.7373;;    0.7727;;    0.7690;
74;    0.7676;;    0.7562;;    0.7242;;    0.6694;;    0.7243;;    0.7882;;    0.7754;
75;    0.7982;;    0.7603;;    0.7404;;    0.6777;;    0.7269;;    0.7881;;    0.7934;
76;    0.7958;;    0.7555;;    0.7350;;    0.6795;;    0.7298;;    0.7861;;    0.7959;
77;    0.7764;;    0.7786;;    0.7249;;    0.6752;;    0.7297;;    0.7676;;    0.8059;
78;    0.7614;;    0.7934;;    0.7514;;    0.6830;;    0.7251;;    0.7755;;    0.7992;
79;    0.8078;;    0.7926;;    0.7518;;    0.7020;;    0.7298;;    0.7836;;    0.7766;
80;    0.8224;;    0.7813;;    0.7133;;    0.6819;;    0.7282;;    0.7857;;    0.7855;
81;    0.7775;;    0.7944;;    0.7207;;    0.6885;;    0.7242;;    0.7817;;    0.7611;
82;    0.7705;;    0.7743;;    0.7503;;    0.6897;;    0.7404;;    0.7813;;    0.8048;
83;    0.7962;;    0.7516;;    0.7095;;    0.6754;;    0.7417;;    0.7877;;    0.7833;
84;    0.7870;;    0.7897;;    0.7321;;    0.6759;;    0.7212;;    0.7870;;    0.7747;
85;    0.8505;;    0.7644;;    0.7254;;    0.6978;;    0.7248;;    0.7758;;    0.7857;
86;    0.7701;;    0.7918;;    0.7538;;    0.6734;;    0.7266;;    0.7810;;    0.7587;
87;    0.8048;;    0.7776;;    0.7162;;    0.6688;;    0.7285;;    0.7723;;    0.7850;
88;    0.7803;;    0.8051;;    0.7475;;    0.6913;;    0.7280;;    0.7841;;    0.7816;
89;    0.7581;;    0.8075;;    0.7301;;    0.7005;;    0.7415;;    0.7789;;    0.7816;
90;    0.8001;;    0.8072;;    0.7263;;    0.6657;;    0.7215;;    0.7844;;    0.8057;
91;    0.7820;;    0.7822;;    0.7026;;    0.6834;;    0.7302;;    0.7785;;    0.7961;
92;    0.7947;;    0.7932;;    0.7232;;    0.6618;;    0.7314;;    0.7840;;    0.7830;
93;    0.7931;;    0.7726;;    0.7374;;    0.6730;;    0.7335;;    0.7824;;    0.8365;
94;    0.8029;;    0.7748;;    0.7227;;    0.6712;;    0.7292;;    0.7795;;    0.7812;
95;    0.7792;;    0.7916;;    0.7213;;    0.6951;;    0.7245;;    0.7850;;    0.8128;
96;    0.7931;;    0.7853;;    0.7121;;    0.6884;;    0.7291;;    0.7808;;    0.7665;
97;    0.8048;;    0.7867;;    0.7355;;    0.6924;;    0.7270;;    0.7801;;    0.8203;
98;    0.8078;;    0.8086;;    0.7163;;    0.6915;;    0.7426;;    0.7832;;    0.7911;
99;    0.7709;;    0.8008;;    0.7274;;    0.6696;;    0.7277;;    0.7816;;    0.7641;
100;    0.8331;;    0.7833;;    0.7282;;    0.6653;;    0.7406;;    0.7860;;    0.7919;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
