;i=1;i=1;i=1;i=1;i=1;;i=2;i=2;i=2;i=2;i=2;;i=3;i=3;i=3;i=3;i=3;;i=4;i=4;i=4;i=4;i=4;;i=5;i=5;i=5;i=5;i=5;;i=6;i=6;i=6;i=6;i=6;;i=7;i=7;i=7;i=7;i=7
46;   20.2351;   38.9885;   59.7104;   80.7418;  100.7109;;   19.9039;   40.0398;   57.4605;   75.9467;   98.9735;;   19.7647;   40.0800;   60.2976;   78.9489;  101.8346;;   20.3758;   40.5766;   60.6154;   80.1159;   99.7781;;   19.9782;   39.8701;   60.5330;   79.0435;   99.0372;;   20.1299;   40.3219;   61.4757;   80.8543;  102.2834;;   19.7097;   40.2552;   56.3149;   74.9567;   97.4968
47;   20.7330;   39.8549;   61.0766;   78.4969;   97.8309;;   19.2081;   39.9676;   57.3081;   79.3247;  104.2635;;   19.7361;   41.2935;   60.1472;   80.1345;  103.6191;;   19.9947;   40.1912;   62.4402;   79.4716;  102.6831;;   19.7503;   39.5846;   60.3201;   80.5475;  100.6084;;   19.3970;   39.7720;   57.1980;   80.8783;   96.8485;;   19.5101;   40.6475;   56.8247;   75.3733;   96.5041
48;   19.8150;   41.9306;   59.8427;   79.9339;  102.1414;;   19.0786;   39.8410;   59.0179;   79.9254;  102.5521;;   20.1272;   40.6654;   60.0142;   80.3481;  102.7331;;   20.3183;   40.7873;   60.9862;   80.7501;  100.4745;;   20.0522;   39.6626;   60.1844;   80.7956;  101.4569;;   19.5268;   38.0320;   59.4809;   80.1896;   95.4414;;   20.4012;   39.5638;   60.8787;   80.2678;  102.9323
49;   20.2457;   39.7028;   61.1220;   82.0175;  100.1620;;   20.5040;   39.3145;   60.6042;   71.8452;  103.3638;;   20.0087;   40.4979;   58.6692;   79.9123;  100.0206;;   19.9452;   39.9318;   60.9442;   78.0615;  101.6434;;   19.9639;   40.6207;   59.0868;   78.8566;   99.4972;;   20.4007;   39.3196;   59.8039;   81.6633;  100.9503;;   21.1051;   39.9606;   61.0470;   81.0062;   96.4154
50;   20.1037;   40.3522;   59.2503;   79.8495;   98.5618;;   19.7768;   37.8963;   62.0978;   77.8416;  103.2616;;   20.5949;   39.9042;   60.1010;   80.1575;   98.7555;;   19.9640;   41.4386;   59.2747;   82.0177;  101.2191;;   20.3447;   40.1832;   58.9898;   80.6754;  101.5515;;   20.1326;   40.5240;   61.2483;   78.2793;  102.8754;;   19.1964;   40.5292;   59.8876;   77.2749;  102.3738
51;   20.0410;   39.2727;   60.3087;   80.6648;   99.5099;;   19.6900;   42.8564;   58.7517;   79.3302;  101.7130;;   20.0496;   39.6476;   59.7178;   81.0486;   96.0644;;   19.4753;   40.2496;   57.9811;   81.0834;   99.8126;;   20.1250;   40.7453;   59.5869;   80.6531;  100.1596;;   19.3278;   40.1501;   60.5576;   80.3309;  102.7097;;   19.6792;   39.9526;   59.8002;   79.4005;   98.2722
52;   20.9517;   40.3763;   59.7754;   79.6219;   99.0997;;   20.1843;   40.0071;   57.8180;   77.9138;  101.8830;;   20.0440;   41.0167;   61.4848;   80.1170;  101.0562;;   19.0713;   40.1658;   57.9292;   77.3574;   97.9039;;   20.0448;   39.8622;   60.4415;   81.0390;  100.5735;;   20.0291;   40.0759;   59.2050;   79.8557;  100.1746;;   19.4069;   40.1480;   58.4613;   80.5083;   99.9072
53;   19.9620;   39.5250;   62.4338;   80.8658;  101.0799;;   19.7677;   39.3551;   58.4708;   74.9075;   95.7558;;   20.4103;   39.7026;   60.1627;   77.8071;   98.1509;;   19.4152;   39.0169;   62.0380;   77.2023;  103.0337;;   20.4254;   39.7488;   59.7382;   78.5643;   98.9669;;   20.3144;   39.5119;   61.1324;   80.6480;   97.1910;;   20.3657;   39.4619;   60.6888;   82.3164;  101.7127
54;   20.3766;   38.9172;   61.3996;   78.7559;   99.8078;;   19.3967;   40.2112;   61.5783;   78.8751;   99.5131;;   19.2790;   41.3254;   58.7117;   78.1630;   97.9846;;   20.6546;   39.2906;   57.6776;   81.3047;   97.8695;;   20.0225;   39.1441;   59.3419;   79.8700;   99.3085;;   19.8342;   39.6127;   60.0944;   81.3272;  101.6808;;   20.0699;   40.1761;   60.3963;   76.5580;   97.3901
55;   19.9285;   39.3778;   60.4108;   78.5994;  100.2521;;   19.6335;   39.4710;   59.6590;   80.3461;  105.5755;;   20.1463;   39.5558;   57.9437;   78.1929;   99.2183;;   20.1511;   40.2476;   61.2038;   81.1458;   98.4541;;   20.3366;   40.4059;   60.7336;   80.1067;   99.8470;;   20.8031;   39.8911;   60.4187;   82.7431;  100.1451;;   19.3491;   40.5392;   59.8936;   79.4355;   95.4931
56;   20.0170;   39.7250;   58.6147;   78.1439;  101.6454;;   19.0592;   41.7026;   60.8126;   84.3212;   95.6224;;   19.9385;   40.2733;   61.9275;   79.8504;   95.8625;;   19.9717;   39.2591;   59.0232;   78.8617;  100.2184;;   20.0977;   39.3873;   59.6519;   79.3004;  100.2845;;   20.5940;   40.8827;   59.3467;   79.9314;  101.5599;;   19.6203;   38.9284;   58.5074;   78.3693;   98.0307
57;   20.1176;   39.4241;   60.1663;   76.1101;   99.3417;;   19.9850;   40.6317;   59.5235;   78.4788;   99.5144;;   19.8179;   40.0949;   58.4653;   80.9804;  100.9258;;   19.9310;   42.1947;   57.1010;   79.6462;   97.8610;;   20.1776;   40.2066;   59.2461;   79.9581;  100.5517;;   19.9994;   41.4031;   61.9045;   78.4079;   98.3836;;   20.5593;   39.6172;   63.5731;   78.5032;   89.6833
58;   20.0354;   41.1936;   58.5601;   80.5042;  100.3080;;   19.9109;   39.7431;   61.0393;   77.4225;  103.9763;;   19.6066;   39.8408;   61.1697;   77.6615;   98.7320;;   20.1216;   40.9025;   60.3921;   76.6991;   98.2938;;   19.8280;   40.5013;   59.9505;   79.8138;  101.6271;;   19.9714;   39.4310;   60.1056;   78.8926;  102.8751;;   20.0719;   37.4116;   59.4273;   81.0631;   96.4586
59;   19.4450;   41.2746;   59.0935;   81.8515;   96.1179;;   19.7691;   39.8459;   57.8828;   81.7460;  100.8596;;   20.5713;   39.6776;   60.7882;   81.2930;   99.2980;;   20.3992;   39.4716;   63.1171;   80.0067;   97.6989;;   20.4423;   39.9312;   59.5805;   80.2731;   99.4340;;   20.3642;   39.4121;   57.3364;   77.0188;   99.5946;;   18.8964;   40.9028;   58.7156;   78.2990;   98.9280
60;   19.5337;   38.4265;   59.7505;   80.0412;  103.3857;;   20.1384;   39.9380;   59.8981;   79.8988;   98.5618;;   20.1330;   39.7245;   58.4152;   80.1764;   97.8957;;   20.3226;   38.8800;   60.4347;   79.7100;   99.6230;;   20.1631;   40.2465;   60.6180;   80.6359;   99.5982;;   20.0249;   41.4400;   61.1009;   79.8531;   97.6941;;   20.2251;   41.7926;   59.8440;   80.7568;  102.5547
61;   20.0239;   40.1921;   59.9407;   81.6279;   97.8939;;   20.3232;   39.7946;   61.9011;   81.2663;   99.4779;;   19.7579;   40.7663;   60.5791;   83.3306;  102.5269;;   19.7636;   38.9903;   57.6907;   80.7692;   98.7693;;   19.9218;   40.5413;   59.1218;   80.0454;  101.1703;;   20.0237;   40.1918;   58.9992;   81.0615;  101.5983;;   20.4850;   38.5737;   59.4609;   76.5818;  101.0990
62;   20.0343;   40.2622;   59.5064;   79.4225;  100.2798;;   19.5275;   41.6423;   60.4316;   78.2545;   98.0973;;   19.6819;   39.8886;   59.1801;   80.0412;  102.6087;;   19.7081;   40.8565;   60.9867;   81.3552;  103.0742;;   19.8625;   39.6729;   59.5581;   79.3998;  101.2279;;   19.7189;   40.6005;   59.7334;   81.3247;  100.1368;;   20.5733;   38.8615;   61.6872;   79.9585;  105.1419
