Sc‚nario;i=1;;i=2;;i=3;;i=4;;i=5;;i=6;;i=7;
58;    0.8184;;    0.8647;;    0.6691;;    0.5713;;    0.7013;;    0.7951;;    0.8139;
59;    0.8234;;    0.8044;;    0.7276;;    0.5907;;    0.7247;;    0.7518;;    0.7682;
60;    0.8930;;    0.8005;;    0.7164;;    0.5824;;    0.7366;;    0.7798;;    0.7631;
61;    0.7932;;    0.7880;;    0.6860;;    0.5931;;    0.7254;;    0.7806;;    0.7995;
62;    0.8038;;    0.8206;;    0.7023;;    0.5944;;    0.7481;;    0.7623;;    0.7802;
63;    0.8174;;    0.8487;;    0.6671;;    0.6052;;    0.7447;;    0.7740;;    0.7524;
64;    0.8240;;    0.8759;;    0.6781;;    0.5930;;    0.7164;;    0.7815;;    0.7951;
65;    0.8271;;    0.7728;;    0.7362;;    0.5973;;    0.7186;;    0.7777;;    0.8022;
66;    0.7698;;    0.8178;;    0.6874;;    0.5960;;    0.7183;;    0.7689;;    0.8216;
67;    0.8227;;    0.8155;;    0.7066;;    0.5983;;    0.7170;;    0.8002;;    0.7846;
68;    0.8832;;    0.8783;;    0.7103;;    0.6028;;    0.7335;;    0.7563;;    0.7914;
69;    0.8232;;    0.8487;;    0.6908;;    0.5924;;    0.7508;;    0.7545;;    0.7854;
70;    0.7607;;    0.8402;;    0.6781;;    0.5791;;    0.7177;;    0.7589;;    0.8258;
71;    0.8040;;    0.8409;;    0.6914;;    0.5905;;    0.7633;;    0.7900;;    0.8141;
72;    0.8709;;    0.8372;;    0.7273;;    0.5659;;    0.7036;;    0.7595;;    0.7661;
73;    0.7826;;    0.8925;;    0.6972;;    0.6015;;    0.7062;;    0.8094;;    0.7695;
74;    0.8562;;    0.8918;;    0.6830;;    0.5825;;    0.7371;;    0.7874;;    0.8427;
75;    0.7607;;    0.8381;;    0.7024;;    0.5903;;    0.7260;;    0.7713;;    0.7750;
76;    0.8595;;    0.8185;;    0.7270;;    0.6079;;    0.7216;;    0.7987;;    0.7851;
77;    0.7991;;    0.8010;;    0.7122;;    0.5769;;    0.7475;;    0.7937;;    0.7959;
78;    0.8262;;    0.8534;;    0.7072;;    0.5701;;    0.7270;;    0.7484;;    0.7885;
79;    0.8551;;    0.8457;;    0.6826;;    0.5645;;    0.7443;;    0.7578;;    0.8144;
80;    0.8021;;    0.7852;;    0.6879;;    0.6061;;    0.7585;;    0.7594;;    0.7970;
81;    0.8640;;    0.7955;;    0.6769;;    0.5774;;    0.7186;;    0.7734;;    0.8100;
82;    0.8767;;    0.8406;;    0.7268;;    0.6006;;    0.7545;;    0.7768;;    0.7859;
83;    0.7306;;    0.8665;;    0.7379;;    0.6102;;    0.7267;;    0.7507;;    0.8119;
84;    0.8047;;    0.7868;;    0.7189;;    0.5685;;    0.7772;;    0.7855;;    0.7827;
85;    0.8250;;    0.7950;;    0.6832;;    0.6153;;    0.7067;;    0.7469;;    0.7820;
86;    0.8270;;    0.8012;;    0.6985;;    0.5834;;    0.7207;;    0.7746;;    0.7909;
87;    0.8548;;    0.7891;;    0.6879;;    0.5668;;    0.7193;;    0.7715;;    0.7774;
88;    0.8267;;    0.8329;;    0.6885;;    0.5760;;    0.7508;;    0.7439;;    0.8639;
89;    0.8176;;    0.7952;;    0.7098;;    0.5825;;    0.7175;;    0.8108;;    0.8065;
90;    0.8144;;    0.7648;;    0.6699;;    0.5780;;    0.7320;;    0.7971;;    0.7628;
91;    0.8241;;    0.9156;;    0.7053;;    0.5852;;    0.7416;;    0.7497;;    0.7658;
92;    0.7997;;    0.8805;;    0.7024;;    0.5771;;    0.7095;;    0.7812;;    0.8538;
93;    0.8226;;    0.8045;;    0.7130;;    0.5905;;    0.6969;;    0.7852;;    0.8227;
94;    0.7720;;    0.9340;;    0.7032;;    0.5923;;    0.7356;;    0.7874;;    0.8025;
95;    0.8715;;    0.8941;;    0.7365;;    0.5938;;    0.7364;;    0.7602;;    0.7638;
96;    0.8330;;    0.8235;;    0.7038;;    0.5709;;    0.7367;;    0.7676;;    0.8272;
97;    0.8224;;    0.8206;;    0.6783;;    0.5934;;    0.7579;;    0.7733;;    0.8093;
98;    0.7458;;    0.8538;;    0.6944;;    0.5821;;    0.7226;;    0.7486;;    0.8034;
99;    0.8319;;    0.8048;;    0.7311;;    0.5874;;    0.7536;;    0.7696;;    0.7408;
100;    0.7759;;    0.8163;;    0.6750;;    0.5811;;    0.6829;;    0.7459;;    0.7784;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
